track_id,label_id,genre,tsne_x,tsne_y
181,13,Rock,-1.4548532962799072,-14.722596168518066
564,13,Rock,28.448749542236328,-6.476199150085449
734,14,Soul-RnB,19.659299850463867,-8.017629623413086
735,14,Soul-RnB,37.31937789916992,-8.062088012695312
736,14,Soul-RnB,-13.083625793457031,-14.342663764953613
737,14,Soul-RnB,9.349424362182617,-9.142250061035156
738,14,Soul-RnB,27.95162010192871,-21.968730926513672
739,14,Soul-RnB,-12.695488929748535,-18.763826370239258
740,14,Soul-RnB,11.074247360229492,-19.174570083618164
741,14,Soul-RnB,27.683412551879883,-11.304299354553223
742,14,Soul-RnB,-9.987789154052734,-11.723701477050781
743,14,Soul-RnB,28.85715103149414,-17.531784057617188
744,14,Soul-RnB,31.051664352416992,-11.460952758789062
745,14,Soul-RnB,26.004623413085938,-18.159976959228516
747,14,Soul-RnB,18.693817138671875,-10.112762451171875
748,14,Soul-RnB,29.277809143066406,-10.519883155822754
749,14,Soul-RnB,29.055795669555664,-17.48724937438965
750,14,Soul-RnB,-3.162594795227051,37.87169647216797
751,14,Soul-RnB,-12.42846393585205,-18.2139835357666
752,14,Soul-RnB,29.046937942504883,-10.160858154296875
753,14,Soul-RnB,-1.2154521942138672,36.23099899291992
754,14,Soul-RnB,25.933469772338867,-11.742923736572266
755,14,Soul-RnB,-36.46513748168945,-7.425166606903076
756,14,Soul-RnB,27.729278564453125,-11.224691390991211
757,14,Soul-RnB,30.139205932617188,-18.819499969482422
758,14,Soul-RnB,19.817602157592773,-4.636725425720215
759,14,Soul-RnB,16.485694885253906,-4.681870460510254
760,14,Soul-RnB,-20.33135414123535,-0.3641442358493805
761,14,Soul-RnB,21.639753341674805,39.916839599609375
762,14,Soul-RnB,-38.47478485107422,4.797431468963623
763,14,Soul-RnB,-21.19310760498047,-18.21265983581543
764,14,Soul-RnB,-24.60490608215332,-21.543853759765625
765,14,Soul-RnB,-39.05144500732422,4.804754734039307
766,14,Soul-RnB,-24.570507049560547,-17.98746681213379
767,14,Soul-RnB,-38.048160552978516,5.422335147857666
768,14,Soul-RnB,-2.2301177978515625,-30.42315101623535
769,14,Soul-RnB,-38.51449966430664,5.483433723449707
770,14,Soul-RnB,-22.140024185180664,-17.992544174194336
