track_id,label_id,genre,tsne_x,tsne_y
181,13,Rock,-1.7687095403671265,-18.212129592895508
564,13,Rock,14.373222351074219,7.526721000671387
734,14,Soul-RnB,-13.70119571685791,-17.291851043701172
735,14,Soul-RnB,25.26348304748535,-26.366283416748047
736,14,Soul-RnB,-10.972307205200195,-12.025850296020508
737,14,Soul-RnB,31.70903968811035,-9.824728965759277
738,14,Soul-RnB,-3.072287082672119,-27.67999839782715
739,14,Soul-RnB,-30.4337215423584,-16.97919464111328
740,14,Soul-RnB,-6.301523208618164,-23.919466018676758
741,14,Soul-RnB,25.570249557495117,-28.291603088378906
742,14,Soul-RnB,-30.990108489990234,-23.10902214050293
743,14,Soul-RnB,-13.478235244750977,-17.184200286865234
744,14,Soul-RnB,26.953998565673828,-27.94204330444336
745,14,Soul-RnB,25.268863677978516,-26.793575286865234
747,14,Soul-RnB,6.5113606452941895,-28.462970733642578
748,14,Soul-RnB,25.875091552734375,-28.789216995239258
749,14,Soul-RnB,-2.3204550743103027,-28.243337631225586
750,14,Soul-RnB,24.460363388061523,11.379716873168945
751,14,Soul-RnB,-18.67864227294922,-14.948944091796875
752,14,Soul-RnB,7.754208564758301,-18.687358856201172
753,14,Soul-RnB,-8.627945899963379,31.087806701660156
754,14,Soul-RnB,1.7837930917739868,3.123960018157959
755,14,Soul-RnB,-38.084938049316406,-12.831782341003418
756,14,Soul-RnB,25.631288528442383,-28.461820602416992
757,14,Soul-RnB,-5.62240743637085,-33.14808654785156
758,14,Soul-RnB,21.18379783630371,-2.2987020015716553
759,14,Soul-RnB,-19.23965072631836,-16.70826530456543
760,14,Soul-RnB,-17.429872512817383,3.4567625522613525
761,14,Soul-RnB,19.169517517089844,21.36423110961914
762,14,Soul-RnB,-35.581634521484375,-17.64013671875
763,14,Soul-RnB,-7.03295373916626,-37.36032485961914
764,14,Soul-RnB,-8.148945808410645,-36.7714729309082
765,14,Soul-RnB,-36.90314483642578,-16.685993194580078
766,14,Soul-RnB,-6.06641149520874,-39.10844802856445
767,14,Soul-RnB,-37.241600036621094,-16.63003158569336
768,14,Soul-RnB,-4.451332092285156,-36.850467681884766
769,14,Soul-RnB,-35.67418670654297,-17.130491256713867
770,14,Soul-RnB,-7.295057773590088,-37.23918914794922
771,14,Soul-RnB,-37.48419189453125,-16.766010284423828
772,14,Soul-RnB,12.241613388061523,-22.58132553100586
773,14,Soul-RnB,-37.168392181396484,-16.621959686279297
774,14,Soul-RnB,-6.821061611175537,-37.41011047363281
775,14,Soul-RnB,-6.949398517608643,-37.847808837890625
776,14,Soul-RnB,-14.713022232055664,-18.878116607666016
854,5,Experimental,-6.188086986541748,-0.44851428270339966
891,6,Folk,3.454918146133423,30.05524253845215
893,6,Folk,-4.4662861824035645,24.005428314208984
894,6,Folk,-2.073395252227783,17.606048583984375
895,6,Folk,-16.421838760375977,19.040346145629883
1042,0,Blues,-5.7733073234558105,-36.502037048339844
1043,0,Blues,-7.0873799324035645,-33.072731018066406
1044,0,Blues,-5.811553001403809,-36.37142562866211
1045,0,Blues,-10.992609024047852,-32.117225646972656
1046,0,Blues,-0.676112711429596,-18.374937057495117
1047,0,Blues,-12.401611328125,18.593488693237305
1048,0,Blues,-11.209258079528809,-31.793537139892578
1068,5,Experimental,18.22148895263672,-12.946532249450684
1071,5,Experimental,14.842406272888184,20.599000930786133
1072,5,Experimental,24.209497451782227,15.28294563293457
3612,13,Rock,-9.807624816894531,-20.094280242919922
3613,13,Rock,-12.792329788208008,-28.710681915283203
3614,13,Rock,-12.797152519226074,-30.085355758666992
3616,13,Rock,-12.717911720275879,-30.079727172851562
3618,13,Rock,-13.57631778717041,-29.86441421508789
3620,13,Rock,-18.136592864990234,-31.77765655517578
3842,0,Blues,-12.244258880615234,-32.73484420776367
4104,13,Rock,-13.248461723327637,-33.183589935302734
4105,13,Rock,-21.497774124145508,-2.3670642375946045
4109,13,Rock,-11.074626922607422,-33.32957458496094
4110,13,Rock,-14.181666374206543,-35.117130279541016
